user_type,authenticated,effective_roles,effective_modules,feature_id,platform,platform_treatment,discover,view,create,edit,delete,archive,deactivate,import,export,submit,validate,approve,reject,assign,publish,report,administer
visitor,false,,,studio.reports,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,studio.reports,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.teacher-portal,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.teacher-portal,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.teachers,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.teachers,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.classes,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.classes,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.trial-lessons,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.trial-lessons,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.trial-queue,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,school.trial-queue,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,internships,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,internships,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.artists,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.artists,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.projects,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.projects,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.releases,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.releases,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
